Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн;;
Лютий 2024;Djeco;DJ00030;"Djeco Набір для плетіння браслетів ""Срібний алфавіт""";8,000;3 995,04;;
Лютий 2024;Djeco;DJ00031;"Djeco Набір для плетіння браслетів ""Золотий алфавіт""";8,000;3 995,04;;
Лютий 2024;Djeco;DJ00061;"DJECO Художній комплект для малювання ""Свійські тварини""";178,000;52 741,92;;
Лютий 2024;Djeco;DJ00070;"Djeco Набір для творчості ""Пухнасті птахи""";12,000;5 242,32;;
Лютий 2024;Djeco;DJ00800;"Djeco Настільна гра ""Джунглі""";12,000;9 367,20;;
Лютий 2024;Djeco;DJ00801;"Djeco Настільна гра ""Пікто Брік""";12,000;4 492,80;;
Лютий 2024;Djeco;DJ00802;"Djeco Настільна гра ""Піратрікс""";12,000;6 742,80;;
Лютий 2024;Djeco;DJ00804;"Djeco Настільна гра ""Помпон""";12,000;7 492,32;;
Лютий 2024;Djeco;DJ01612;"Djeco Настільна гра ""Рахуй з пінгвінами""";11,000;5 994,48;;
Лютий 2024;Djeco;DJ01629;"Djeco Розвиваюча гра ""Крококрок""";12,000;6 742,80;;
Лютий 2024;Djeco;DJ01661;"Djeco Гра розвиваюча ""Bingonimo""";-1,000;-399,36;;
Лютий 2024;Djeco;DJ01666;"Djeco Розвиваюча гра ""Ремінці""";2,000;908,88;;
Лютий 2024;Djeco;DJ01669;"Djeco Розвиваюча гра ""З'єднай тваринок""";1,000;432,90;;
Лютий 2024;Djeco;DJ01698;"Djeco Набір ігор 4в1 ""Лудопарк""";22,000;15 685,98;;
Лютий 2024;Djeco;DJ05085;"DJECO Карткова гра ""Рок-гурт""";16,000;4 489,92;;
Лютий 2024;Djeco;DJ05092;"Djeco Карткова гра ""Весела плутанина""";13,000;2 585,22;;
Лютий 2024;Djeco;DJ05095;"Djeco Карткова гра ""Мотамо""";4,000;765,72;;
Лютий 2024;Djeco;DJ05096;"Djeco Карткова гра ""Містерікс""";45,000;9 507,00;;
Лютий 2024;Djeco;DJ05098;"Djeco Гра ""Жахливий Бу""";25,000;8 107,56;;
Лютий 2024;Djeco;DJ05104;"Djeco Гра ""БатаВаф""";13,000;2 856,96;;
Лютий 2024;Djeco;DJ05108;"Djeco Гра ""Піполо""";21,000;4 135,74;;
Лютий 2024;Djeco;DJ05117;"Djeco Гра ""Побудуй замок""";160,000;33 129,90;;
Лютий 2024;Djeco;DJ05120;"Djeco Гра ""Тіп Топ Хлоп""";3,000;615,96;;
Лютий 2024;Djeco;DJ05123;"Djeco Гра ""Горила""";61,000;12 360,72;;
Лютий 2024;Djeco;DJ05136;"Djeco Гра ""Динозаври""";3,000;641,52;;
Лютий 2024;Djeco;DJ05144;"Djeco Гра ""Школа магії""";8,000;1 744,80;;
Лютий 2024;Djeco;DJ05145;"Djeco Гра ""Збери баранчиків""";20,000;4 234,14;;
Лютий 2024;Djeco;DJ05153;"Djeco Гра ""Занімалка""";23,000;6 600,36;;
Лютий 2024;Djeco;DJ05161;"Djeco Гра ""Сардини"" ";91,000;27 401,46;;
Лютий 2024;Djeco;DJ05176;"Djeco Гра ""Додо""";24,000;10 484,64;;
Лютий 2024;Djeco;DJ05208;"Djeco Гра настільна бродилка ""Сачки і сходи""";62,000;21 985,80;;
Лютий 2024;Djeco;DJ05218;Djeco Набір класичних ігор 12в1;16,000;12 681,66;;
Лютий 2024;Djeco;DJ05232;"Djeco Настільна гра ""Гуси""";6,000;2 246,40;;
Лютий 2024;Djeco;DJ05236;"DJECO Гра ""Покер Джуніор""";18,000;7 300,80;;
Лютий 2024;Djeco;DJ05270;"Djeco Гра настільна тактика ""Морський бій""";87,000;44 614,62;;
Лютий 2024;Djeco;DJ05641;Djeco Конструктор Zig & Go - 27 дет;11,000;9 212,70;;
Лютий 2024;Djeco;DJ05642;Djeco Конструктор Zig & Go - 25 дет;-1,000;-742,20;;
Лютий 2024;Djeco;DJ06432;"Djeco Дерев'яний конструктор ""Геонімо""";1,000;856,44;;
Лютий 2024;Djeco;DJ06481;"Djeco Гра ""Дзеркальні картинки""";9,000;4 615,14;;
Лютий 2024;Djeco;DJ06516;"Djeco Гра ""OSCAR & CANNELLE""";16,000;9 989,76;;
Лютий 2024;Djeco;DJ06646;"Djeco Дерев'яна гра аплікація з молоточком ""Роботи""";2,000;1 513,68;;
Лютий 2024;Djeco;DJ06970;"Djeco Карткова гра ""Міні Містігрі""";3,000;407,52;;
Лютий 2024;Djeco;DJ06972;"Djeco Настільна гра ""Маленька вечірка""";24,000;22 485,60;;
Лютий 2024;Djeco;DJ07900;"Djeco Набір масок з мозаїкою Зроби сам ""Тварини""";5,000;1 219,68;;
Лютий 2024;Djeco;DJ07901;"Djeco Набір головних прикрас з мозаїкою Зроби сам ""Принцеса""";48,000;12 258,48;;
Лютий 2024;Djeco;DJ07902;"Djeco Набір шабель з мозаїкою Зроби сам ""Як пірат""";6,000;2 433,60;;
Лютий 2024;Djeco;DJ07922;"Djeco Набір Зроби сам ""Космічний калейдоскоп""";13,000;4 727,28;;
Лютий 2024;Djeco;DJ07955;"Djeco Набір для творчості ""Кітті - дзвіночок""";44,000;13 574,16;;
Лютий 2024;Djeco;DJ07961;"Djeco Ловець снів Зроби сам ""Сова""";6,000;2 171,16;;
Лютий 2024;Djeco;DJ07962;"Djeco Ловець снів Зроби сам ""Русалонька""";6,000;2 171,16;;
Лютий 2024;Djeco;DJ07963;"Djeco Набір для створення ловця снів ""Фея лотоса""";6,000;2 171,16;;
Лютий 2024;Djeco;DJ07970;"Djeco Набір Зроби сам ""Блокнотики""";-1,000;-332,64;;
Лютий 2024;Djeco;DJ08132;"Djeco Набір настільних ігор ""Динозаври""";46,000;18 716,40;;
Лютий 2024;Djeco;DJ08198;"Djeco Гра настільна ""Анімо Мондо""";22,000;9 898,38;;
Лютий 2024;Djeco;DJ08401;"Djeco Настільна гра ""Чоп Чоп""";24,000;19 484,64;;
Лютий 2024;Djeco;DJ08404;"Djeco Гра настільна ""Кольорові кубики""";-1,000;-647,10;;
Лютий 2024;Djeco;DJ08417;"Djeco Гра ""Блеф пірата""";19,000;11 319,00;;
Лютий 2024;Djeco;DJ08443;"Djeco Гра ""Pixel Tamgram""";3,000;1 405,44;;
Лютий 2024;Djeco;DJ08451;"Djeco Настільна гра ""Поліссімо""";122,000;59 703,54;;
Лютий 2024;Djeco;DJ08463;"Djeco Гра головоломка ""Кразікс""";175,000;70 931,70;;
Лютий 2024;Djeco;DJ08464;"Djeco Гра головоломка ""Вудікс""";118,000;54 707,34;;
Лютий 2024;Djeco;DJ08469;"Djeco Настільна гра ""Москіто""";12,000;6 742,80;;
Лютий 2024;Djeco;DJ08477;"Djeco Настільна гра ""Кубіссімо""";81,000;39 524,88;;
Лютий 2024;Djeco;DJ08527;"Djeco Настільна гра ""Рапідо Метео""";7,000;3 522,36;;
Лютий 2024;Djeco;DJ08533;"Djeco Гра настільна ""Маленький магазин""";117,000;58 663,20;;
Лютий 2024;Djeco;DJ08534;"Djeco Гра ""Pick me up""";6,000;3 746,16;;
Лютий 2024;Djeco;DJ08535;"Djeco Гра ""Катуді""";7,000;3 562,38;;
Лютий 2024;Djeco;DJ08542;"Djeco Гра настільна ""Знайди пропажу""";35,000;12 073,26;;
Лютий 2024;Djeco;DJ08550;"Djeco Настільна гра ""Маленька доріжка""";103,000;43 709,70;;
Лютий 2024;Djeco;DJ08557;"Djeco Настільна гра балансир ""Пірамідки""";173,000;84 537,72;;
Лютий 2024;Djeco;DJ08570;"Djeco Гра ""Логіка підземелля""";-2,000;-1 065,36;;
Лютий 2024;Djeco;DJ08571;"Djeco Гра ""Пожежники""";35,000;15 945,54;;
Лютий 2024;Djeco;DJ08572;"Djeco Гра настільна ""Пікнік""";6,000;3 746,16;;
Лютий 2024;Djeco;DJ08575;"Djeco Гра ""Оскар та Макс""";6,000;2 621,16;;
Лютий 2024;Djeco;DJ08577;"Djeco Настільна гра ""Паніка в джунглях""";-1,000;-530,52;;
Лютий 2024;Djeco;DJ08578;"Djeco Настільна гра ""Пентанімо""";12,000;8 242,56;;
Лютий 2024;Djeco;DJ08590;"DJECO Настільна гра ""Архілогіка""";41,000;19 706,64;;
Лютий 2024;Djeco;DJ08591;"DJECO Настільна гра ""Божевільні обличчя""";12,000;5 092,56;;
Лютий 2024;Djeco;DJ08595;"Djeco Настільна гра ""Піратський острів""";12,000;8 242,56;;
Лютий 2024;Djeco;DJ08597;"Djeco Гра ""Космічний кіт""";3,000;1 457,94;;
Лютий 2024;Djeco;DJ08598;"Djeco Гра настільна ""Навколо світу""";6,000;4 496,40;;
Лютий 2024;Djeco;DJ08661;"Djeco Художній комплект малювання кольоровим піском і блискітками ""Райдужні рибки""";2,000;968,40;;
Лютий 2024;Djeco;DJ08664;Djeco Художній комплект колаж для найменших, 4 фігурки;69,000;32 042,28;;
Лютий 2024;Djeco;DJ08678;"Djeco Художній комплект малювання кольоровим піском ""Чудово мило""";17,000;6 826,26;;
Лютий 2024;Djeco;DJ08760;"Djeco Художній комплект орігамі ""Літаки""";10,000;1 556,40;;
Лютий 2024;Djeco;DJ08830;"Djeco Набір наліпок 160 шт ""Принцеса""";121,000;9 170,46;;
Лютий 2024;Djeco;DJ08841;"Djeco Набір наліпок 160 шт ""Тварини""";69,000;5 561,16;;
Лютий 2024;Djeco;DJ08842;"Djeco Набір наліпок 160 шт ""Маленькі друзі""";47,000;3 662,52;;
Лютий 2024;Djeco;DJ08884;"Djeco Набір наліпок 160 шт ""Чаювання принцес""";74,000;5 526,48;;
Лютий 2024;Djeco;DJ08885;"Djeco Набір наліпок 160 шт ""Русалки""";74,000;6 017,46;;
Лютий 2024;Djeco;DJ08897;"Djeco Набір для творчості - мозаїка ""Білочка""";106,000;39 964,02;;
Лютий 2024;Djeco;DJ08930;"Djeco Набір для творчості ""Перлинна мозаїка""";6,000;3 371,40;;
Лютий 2024;Djeco;DJ08931;"Djeco Художній комплект з наліпками ""Марінс""";32,000;5 540,10;;
Лютий 2024;Djeco;DJ08932;"Djeco Набір наліпок для аплікації ""Створи тварину""";126,000;21 968,82;;
Лютий 2024;Djeco;DJ08934;"Djeco Художній комплект з наліпками ""Каламбур""";91,000;16 086,24;;
Лютий 2024;Djeco;DJ08952;"Djeco Набір для творчості з наліпками, що переміщуються ""Ярмарок""";-1,000;-219,36;;
Лютий 2024;Djeco;DJ08953;"Djeco Набір з переміщуваними наліпками ""Пригоди в морі""";43,000;9 833,40;;
Лютий 2024;Djeco;DJ08966;"Djeco Набір для творчості зі штампами ""Тварини та візерунки""";-1,000;-801,30;;
Лютий 2024;Djeco;DJ08968;"Djeco Набір для творчості ""Тропічний ліс""";6,000;4 121,28;;
Лютий 2024;Djeco;DJ08982;"Djeco Набір для творчості ""Комахи""";13,000;6 945,36;;
Лютий 2024;Djeco;DJ08997;"Djeco Набір для творчості ""Світ для створення тварин""";35,000;20 587,32;;
Лютий 2024;Djeco;DJ09015;"Djeco Набір для творчості ""Фантазія""";46,000;37 030,08;;
Лютий 2024;Djeco;DJ09044;Djeco Набір для творчості з круглими наліпками;10,000;1 743,60;;
Лютий 2024;Djeco;DJ09045;"Djeco Набір для творчості з наліпками ""Перукарня""";10,000;2 493,60;;
