tag,family,category,OOF_safe,val_SIMSCORE,val_WAPE,val_bias,val_M_WAPE,test_SIMSCORE,test_WAPE,test_bias,test_M_WAPE,val_rows,test_rows,gap_SIMSCORE,gap_bias_abs
v74,V7-family,individual_base,True,0.4558164022504925,0.4168086269447995,-2.1873494406614213,0.0561420562047717,0.4988929637335241,0.4332010027979351,-2.5585423222714287,0.1057984986484636,31452,20968,0.0430765614830316,0.3711928816100074
v73,V7-family,individual_base,True,0.4595094971271443,0.4235827230748166,-1.9985008241900064,0.0518685398627552,0.5039572411993466,0.4361677304759548,-3.174478112200343,0.1038342403247799,31452,20968,0.0444477440722023,1.1759772880103367
v9_recent,V9,individual_base,True,0.4123944566310641,0.3433174960813443,-6.907696054971985,0.0690769605497197,0.5112983514811917,0.4139861216173991,-8.968601216399856,0.1049384475635867,31452,20968,0.0989038948501276,2.060905161427871
v8,V8,individual_base,True,0.482060053550382,0.3931892753122362,-8.86848664265625,0.0890566900497291,0.5135142671789915,0.4082807823260584,-10.092563492711262,0.1095413347787535,31452,20968,0.0314542136286094,1.2240768500550114
v71_channels_tuned,V7.1,individual_base,True,0.5114243638008352,0.4186780602812261,-9.241767771664424,0.093074929322574,0.5154077182756067,0.4072885494034718,-10.439541076868968,0.11184292697558,31452,20968,0.0039833544747714,1.197773305204544
v7_rec95_tuned,V7-family,individual_base,True,0.5078038829993606,0.4161760770860844,-9.16278059132762,0.0916278059132761,0.5156458668431306,0.4139166579703698,-9.764914867076545,0.1058092690747559,31452,20968,0.0078419838437699,0.6021342757489254
v10_recent,V10,individual_base,True,0.3980656566302302,0.3313543084633313,-6.47975014274417,0.068625194906356,0.5187682032265869,0.4238468037008826,-5.588462476012709,0.1339581742912813,31452,20968,0.1207025465963567,-0.8912876667314613
v7,V7-family,individual_base,True,0.4991518798889719,0.4200073266084267,-7.914455328054528,0.0791445532805451,0.5220007648467193,0.4208278835531391,-9.8629105897331,0.1037166566898295,31452,20968,0.0228488849577473,1.9484552616785713
v10_em,V10,individual_base,True,0.3999028660769675,0.3289370543404341,-7.096581173653337,0.0709658117365333,0.5241092074653885,0.4234213117754349,-5.800983855258083,0.1433659528273261,31452,20968,0.1242063413884209,-1.295597318395254
v10,V10,individual_base,True,0.3999028660769675,0.3289370543404341,-7.096581173653337,0.0709658117365333,0.5241092074653885,0.4234213117754349,-5.800983855258083,0.1433659528273261,31452,20968,0.1242063413884209,-1.295597318395254
v7_v11_g93,V7-family,individual_base,True,0.4078816928372241,0.3332433219255604,-7.216608411503976,0.0771106577082876,0.5254165126157961,0.4152471860950547,-9.099782370047611,0.1293408293410067,31452,20968,0.117534819778572,1.8831739585436376
v11_g93,V11,individual_base,True,0.4078816928372241,0.3332433219255604,-7.216608411503976,0.0771106577082876,0.5254165126157961,0.4152471860950547,-9.099782370047611,0.1293408293410067,31452,20968,0.117534819778572,1.8831739585436376
v7_v72_uahopt,V7-family,individual_base,True,0.5249496380101768,0.4211162859237489,-10.383335208642782,0.1038333520864277,0.5258154751087903,0.4125204367654313,-11.020185655941209,0.116388220127306,31452,20968,0.0008658370986135,0.6368504472984249
v71_channels_ch72u,V7.1,individual_base,True,0.5307111519296516,0.422545215932742,-10.816593599690954,0.1081659359969096,0.526288799200606,0.4086156454766604,-11.494112487230955,0.1204051825755815,31452,20968,-0.0044223527290455,0.6775188875400016
v72_champion,V7-family,ensemble_or_stack,True,0.5307111519296516,0.422545215932742,-10.816593599690954,0.1081659359969096,0.526288799200606,0.4086156454766604,-11.494112487230955,0.1204051825755815,31452,20968,-0.0044223527290455,0.6775188875400016
v11_g90,V11,individual_base,True,0.4089207389089882,0.3324421630872483,-7.567482750572102,0.0772823241377587,0.5264630192681381,0.4169343767053821,-9.25344782142012,0.1265228069113107,31452,20968,0.1175422803591498,1.6859650708480185
v7_v11_g90,V7-family,individual_base,True,0.4089207389089882,0.3324421630872483,-7.567482750572102,0.0772823241377587,0.5264630192681381,0.4169343767053821,-9.25344782142012,0.1265228069113107,31452,20968,0.1175422803591498,1.6859650708480185
v7sym_tweedie15,V7-family,individual_base,True,0.4610905511306994,0.4216455642532529,-0.9793523747295542,0.0690964500075973,0.5264715529570959,0.4473260146715117,1.0402840705743324,0.147888235865425,31452,20968,0.0653810018263965,0.0609316958447782
