weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"[0.7, 0.025, 0.075, 0.2]",0.7,0.025,0.075,0.2,0.44759000000000004,-3.7261,-0.624
"[0.875, 0.025, 0.1, 0.0]",0.875,0.025,0.1,0.0,0.41294000000000003,-1.607,-0.656
"[0.85, 0.025, 0.1, 0.025]",0.85,0.025,0.1,0.025,0.41531999999999997,-1.8922000000000003,-0.679
"[0.825, 0.025, 0.1, 0.05]",0.825,0.025,0.1,0.05,0.4182,-2.1776,-0.702
"[0.8, 0.025, 0.1, 0.075]",0.8,0.025,0.1,0.075,0.42168000000000005,-2.4625,-0.725
"[0.775, 0.025, 0.1, 0.1]",0.775,0.025,0.1,0.1,0.42591,-2.7477,-0.748
"[0.75, 0.025, 0.1, 0.125]",0.75,0.025,0.1,0.125,0.43103,-3.0329,-0.771
"[0.725, 0.025, 0.1, 0.15]",0.725,0.025,0.1,0.15,0.4365,-3.3178,-0.794
"[0.675, 0.025, 0.1, 0.2]",0.675,0.025,0.1,0.2,0.4488,-3.8882000000000003,-0.84
"[0.85, 0.025, 0.125, 0.0]",0.85,0.025,0.125,0.0,0.41381,-1.7691,-0.872
"[0.825, 0.025, 0.125, 0.025]",0.825,0.025,0.125,0.025,0.41619,-2.0545,-0.895
"[0.8, 0.025, 0.125, 0.05]",0.8,0.025,0.125,0.05,0.41912,-2.3397,-0.918
"[0.775, 0.025, 0.125, 0.075]",0.775,0.025,0.125,0.075,0.42264,-2.6246,-0.941
"[0.75, 0.025, 0.125, 0.1]",0.75,0.025,0.125,0.1,0.42705,-2.9097999999999997,-0.964
"[0.725, 0.025, 0.125, 0.125]",0.725,0.025,0.125,0.125,0.43213999999999997,-3.1950000000000003,-0.987
"[0.7, 0.025, 0.125, 0.15]",0.7,0.025,0.125,0.15,0.43766,-3.4798999999999998,-1.01
"[0.6499999999999999, 0.025, 0.125, 0.2]",0.6499999999999999,0.025,0.125,0.2,0.44998000000000005,-4.051,-1.057
"[0.825, 0.025, 0.15, 0.0]",0.825,0.025,0.15,0.0,0.41465,-1.9314,-1.088
"[0.8, 0.025, 0.15, 0.025]",0.8,0.025,0.15,0.025,0.41706,-2.2166,-1.111
"[0.775, 0.025, 0.15, 0.05]",0.775,0.025,0.15,0.05,0.42001,-2.5018000000000002,-1.134
"[0.75, 0.025, 0.15, 0.075]",0.75,0.025,0.15,0.075,0.42357999999999996,-2.7866999999999997,-1.157
"[0.725, 0.025, 0.15, 0.1]",0.725,0.025,0.15,0.1,0.42816,-3.0719,-1.18
"[0.7, 0.025, 0.15, 0.125]",0.7,0.025,0.15,0.125,0.4333,-3.3571,-1.203
"[0.675, 0.025, 0.15, 0.15]",0.675,0.025,0.15,0.15,0.43887,-3.6425,-1.227
"[0.625, 0.025, 0.15, 0.2]",0.625,0.025,0.15,0.2,0.45121,-4.2131,-1.273
"[0.775, 0.025, 0.2, 0.0]",0.775,0.025,0.2,0.0,0.41642,-2.2556000000000003,-1.52
"[0.75, 0.025, 0.2, 0.025]",0.75,0.025,0.2,0.025,0.41884999999999994,-2.5408,-1.543
"[0.725, 0.025, 0.2, 0.05]",0.725,0.025,0.2,0.05,0.42189,-2.826,-1.566
"[0.7, 0.025, 0.2, 0.075]",0.7,0.025,0.2,0.075,0.42579,-3.1113999999999997,-1.59
"[0.675, 0.025, 0.2, 0.1]",0.675,0.025,0.2,0.1,0.43048,-3.3966000000000003,-1.613
