weights,w_base,w_v12ext,w_v11g93,w_chronos,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"(0.825, 0.05, 0.075, 0.05)",0.825,0.05,0.075,0.05,0.41892,-2.486,-0.873
"(0.8, 0.05, 0.075, 0.075)",0.8,0.05,0.075,0.075,0.42364999999999997,-2.9431,-1.024
"(0.775, 0.05, 0.075, 0.1)",0.775,0.05,0.075,0.1,0.42955,-3.4004999999999996,-1.175
"(0.75, 0.05, 0.075, 0.125)",0.75,0.05,0.075,0.125,0.43605,-3.8576000000000006,-1.326
"(0.725, 0.05, 0.075, 0.15)",0.725,0.05,0.075,0.15,0.44316,-4.3155,-1.478
"(0.675, 0.05, 0.075, 0.2)",0.675,0.05,0.075,0.2,0.45909,-5.2299999999999995,-1.78
"(0.85, 0.05, 0.1, 0.0)",0.85,0.05,0.1,0.0,0.41328,-1.7332999999999998,-0.787
"(0.825, 0.05, 0.1, 0.025)",0.825,0.05,0.1,0.025,0.41618,-2.1907,-0.938
"(0.8, 0.05, 0.1, 0.05)",0.8,0.05,0.1,0.05,0.41981,-2.6481000000000003,-1.089
"(0.775, 0.05, 0.1, 0.075)",0.775,0.05,0.1,0.075,0.42476,-3.1052,-1.24
"(0.75, 0.05, 0.1, 0.1)",0.75,0.05,0.1,0.1,0.43069,-3.5626,-1.391
"(0.725, 0.05, 0.1, 0.125)",0.725,0.05,0.1,0.125,0.43716,-4.0202,-1.543
"(0.7, 0.05, 0.1, 0.15)",0.7,0.05,0.1,0.15,0.44429,-4.477600000000001,-1.694
"(0.6499999999999999, 0.05, 0.1, 0.2)",0.6499999999999999,0.05,0.1,0.2,0.46027,-5.3921,-1.996
"(0.825, 0.05, 0.125, 0.0)",0.825,0.05,0.125,0.0,0.4142,-1.8954,-1.003
"(0.8, 0.05, 0.125, 0.025)",0.8,0.05,0.125,0.025,0.41705000000000003,-2.3528,-1.154
"(0.775, 0.05, 0.125, 0.05)",0.775,0.05,0.125,0.05,0.42068,-2.8102,-1.305
"(0.75, 0.05, 0.125, 0.075)",0.75,0.05,0.125,0.075,0.42583,-3.2678,-1.457
"(0.725, 0.05, 0.125, 0.1)",0.725,0.05,0.125,0.1,0.43174999999999997,-3.7252,-1.608
"(0.7, 0.05, 0.125, 0.125)",0.7,0.05,0.125,0.125,0.43835,-4.1823,-1.759
"(0.675, 0.05, 0.125, 0.15)",0.675,0.05,0.125,0.15,0.44548,-4.6397,-1.91
"(0.625, 0.05, 0.125, 0.2)",0.625,0.05,0.125,0.2,0.46153,-5.5544,-2.212
"(0.8, 0.05, 0.15, 0.0)",0.8,0.05,0.15,0.0,0.41507000000000005,-2.0575,-1.219
"(0.775, 0.05, 0.15, 0.025)",0.775,0.05,0.15,0.025,0.41792,-2.5149,-1.37
"(0.75, 0.05, 0.15, 0.05)",0.75,0.05,0.15,0.05,0.42174,-2.9728000000000003,-1.522
"(0.725, 0.05, 0.15, 0.075)",0.725,0.05,0.15,0.075,0.42691999999999997,-3.4301,-1.673
"(0.7, 0.05, 0.15, 0.1)",0.7,0.05,0.15,0.1,0.43289,-3.8874999999999997,-1.824
"(0.675, 0.05, 0.15, 0.125)",0.675,0.05,0.15,0.125,0.43950999999999996,-4.3446,-1.975
"(0.65, 0.05, 0.15, 0.15)",0.65,0.05,0.15,0.15,0.44671000000000005,-4.802,-2.126
"(0.6, 0.05, 0.15, 0.2)",0.6,0.05,0.15,0.2,0.46279,-5.7165,-2.428
"(0.75, 0.05, 0.2, 0.0)",0.75,0.05,0.2,0.0,0.41684,-2.3824,-1.652
"(0.725, 0.05, 0.2, 0.025)",0.725,0.05,0.2,0.025,0.41978,-2.8398,-1.803
"(0.7, 0.05, 0.2, 0.05)",0.7,0.05,0.2,0.05,0.42391999999999996,-3.2971999999999997,-1.954
"(0.675, 0.05, 0.2, 0.075)",0.675,0.05,0.2,0.075,0.42922000000000005,-3.7542999999999997,-2.105
"(0.6499999999999999, 0.05, 0.2, 0.1)",0.6499999999999999,0.05,0.2,0.1,0.43521,-4.2117,-2.256
"(0.625, 0.05, 0.2, 0.125)",0.625,0.05,0.2,0.125,0.44188,-4.668799999999999,-2.407
"(0.6, 0.05, 0.2, 0.15)",0.6,0.05,0.2,0.15,0.44913000000000003,-5.1267,-2.559
"(0.925, 0.075, 0.0, 0.0)",0.925,0.075,0.0,0.0,0.41034,-1.2107999999999999,-0.053
"(0.9, 0.075, 0.0, 0.025)",0.9,0.075,0.0,0.025,0.41315,-1.6686,-0.205
"(0.875, 0.075, 0.0, 0.05)",0.875,0.075,0.0,0.05,0.41665,-2.126,-0.356
"(0.85, 0.075, 0.0, 0.075)",0.85,0.075,0.0,0.075,0.42100000000000004,-2.5831,-0.507
"(0.825, 0.075, 0.0, 0.1)",0.825,0.075,0.0,0.1,0.42686,-3.0405,-0.658
"(0.8, 0.075, 0.0, 0.125)",0.8,0.075,0.0,0.125,0.43331,-3.4976,-0.809
