weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,w_v12ext_g93,w_v14_nn,OOF_recency,OOF_bias_recency_pct
"[0.775, 0.0, 0.0, 0.075, 0.0, 0.15]",0.775,0.0,0.0,0.075,0.0,0.15,0.41984,-1.5811999999999997
"[0.9, 0.0, 0.0, 0.075, 0.025, 0.0]",0.9,0.0,0.0,0.075,0.025,0.0,0.41896,-1.8059
"[0.875, 0.0, 0.0, 0.075, 0.025, 0.025]",0.875,0.0,0.0,0.075,0.025,0.025,0.41835,-1.7879999999999998
"[0.85, 0.0, 0.0, 0.075, 0.025, 0.05]",0.85,0.0,0.0,0.075,0.025,0.05,0.41835,-1.7706000000000002
"[0.825, 0.0, 0.0, 0.075, 0.025, 0.075]",0.825,0.0,0.0,0.075,0.025,0.075,0.41864,-1.7527
"[0.8, 0.0, 0.0, 0.075, 0.025, 0.1]",0.8,0.0,0.0,0.075,0.025,0.1,0.41910000000000003,-1.7353
"[0.75, 0.0, 0.0, 0.075, 0.025, 0.15]",0.75,0.0,0.0,0.075,0.025,0.15,0.42029000000000005,-1.7000000000000002
"[0.875, 0.0, 0.0, 0.075, 0.05, 0.0]",0.875,0.0,0.0,0.075,0.05,0.0,0.41881,-1.9249
"[0.85, 0.0, 0.0, 0.075, 0.05, 0.025]",0.85,0.0,0.0,0.075,0.05,0.025,0.41867,-1.907
"[0.825, 0.0, 0.0, 0.075, 0.05, 0.05]",0.825,0.0,0.0,0.075,0.05,0.05,0.41881999999999997,-1.8896000000000002
"[0.8, 0.0, 0.0, 0.075, 0.05, 0.075]",0.8,0.0,0.0,0.075,0.05,0.075,0.41919,-1.8717
"[0.775, 0.0, 0.0, 0.075, 0.05, 0.1]",0.775,0.0,0.0,0.075,0.05,0.1,0.41963,-1.8542999999999998
"[0.725, 0.0, 0.0, 0.075, 0.05, 0.15]",0.725,0.0,0.0,0.075,0.05,0.15,0.42084,-1.8190000000000002
"[0.85, 0.0, 0.0, 0.075, 0.075, 0.0]",0.85,0.0,0.0,0.075,0.075,0.0,0.41916,-2.0437000000000003
"[0.825, 0.0, 0.0, 0.075, 0.075, 0.025]",0.825,0.0,0.0,0.075,0.075,0.025,0.41917,-2.0258
