name,OOF_mean,OOF_recency,OOF_bias_recency_pct,OOF_folds,OOF_bias_folds,fold_bias_signs,last_two_agree,all_agree,bias_stability_score,in_sample,gap
v10+v11_g93_tau0.5_ch08_chABC_brand,0.3896,0.4143,-0.86,"[0.3073, 0.3898, 0.4717]","[-1.173, 0.54, -1.574]","[-1, 1, -1]",False,False,-0.85,0.3522,0.0374
v10+all_v11_tau0.5_ch08_chABC_brand,0.3905,0.4144,-1.025,"[0.311, 0.3903, 0.4702]","[-1.612, 0.616, -1.774]","[-1, 1, -1]",False,False,-1.0928,0.3516,0.0389
v10+all_v11_tau0.52_ch08_chABC_brand,0.3906,0.4145,-1.038,"[0.3115, 0.3902, 0.4702]","[-1.67, 0.608, -1.772]","[-1, 1, -1]",False,False,-1.0774,0.3516,0.039
v10+all_v11_tau0.55_ch08_chABC_brand,0.3908,0.4145,-1.06,"[0.3124, 0.3899, 0.4701]","[-1.772, 0.596, -1.768]","[-1, 1, -1]",False,False,-1.0561,0.3517,0.0391
v10+v11_g90_tau0.52_ch08,0.3906,0.4148,-1.609,"[0.3145, 0.3835, 0.4738]","[-2.042, -0.205, -2.278]","[-1, -1, -1]",True,True,0.467,0.3562,0.0344
v10+v11_g90_tau0.5_ch08,0.3906,0.4149,-1.607,"[0.3143, 0.3835, 0.4739]","[-2.017, -0.197, -2.29]","[-1, -1, -1]",True,True,0.4511,0.3562,0.0344
v10+v11_g90_tau0.55_ch08,0.3908,0.4149,-1.613,"[0.3151, 0.3836, 0.4737]","[-2.096, -0.217, -2.257]","[-1, -1, -1]",True,True,0.4898,0.3563,0.0345
v10_baseline_tau0.5_ch08,0.3899,0.4149,-1.455,"[0.3097, 0.3847, 0.4752]","[-1.44, -0.529, -2.016]","[-1, -1, -1]",True,True,1.0665,0.3571,0.0328
v10+v12_intermittent_tau0.5_ch08,0.3898,0.4149,-1.443,"[0.3097, 0.3847, 0.4751]","[-1.44, -0.529, -1.992]","[-1, -1, -1]",True,True,1.0538,0.3571,0.0327
v10+v11_chronos_tau0.5_ch08,0.3899,0.4149,-1.455,"[0.3097, 0.3847, 0.4752]","[-1.44, -0.529, -2.016]","[-1, -1, -1]",True,True,1.0665,0.3572,0.0327
v10+v12_intermittent_tau0.52_ch08,0.3898,0.4149,-1.436,"[0.3097, 0.3848, 0.475]","[-1.448, -0.535, -1.971]","[-1, -1, -1]",True,True,1.0545,0.3571,0.0327
